,poblacion,salud,PIB,Region
Afghanistan,35500000.0,58.4,618.0,asia
Albania,2930000.0,77.9,4870.0,europe
Algeria,41300000.0,77.6,4830.0,africa
Andorra,77000.0,,43900.0,europe
Angola,29800000.0,64.9,3480.0,africa
Antigua and Barbuda,102000.0,77.4,13600.0,americas
Argentina,44300000.0,76.8,10400.0,americas
Armenia,2930000.0,75.8,4220.0,europe
Australia,24500000.0,82.7,55900.0,asia
Austria,8740000.0,81.7,49100.0,europe
Azerbaijan,9830000.0,72.2,5810.0,europe
Bahamas,395000.0,74.0,26500.0,americas
Bahrain,1490000.0,77.0,22100.0,asia
Bangladesh,165000000.0,73.1,1090.0,asia
Barbados,286000.0,76.7,16500.0,americas
Belarus,9470000.0,73.6,6380.0,europe
Belgium,11400000.0,81.1,46100.0,europe
Belize,375000.0,72.2,4320.0,americas
Benin,11200000.0,64.7,860.0,africa
Bhutan,808000.0,74.5,2960.0,asia
Bolivia,11100000.0,73.6,2520.0,americas
Bosnia and Herzegovina,3510000.0,77.8,5560.0,europe
Botswana,2290000.0,66.3,7520.0,africa
Brazil,209000000.0,75.5,10900.0,americas
Brunei,429000.0,77.2,31400.0,asia
Bulgaria,7080000.0,75.2,8310.0,europe
Burkina Faso,19200000.0,61.2,689.0,africa
Burundi,10900000.0,60.8,213.0,africa
Cambodia,16000000.0,69.0,1140.0,asia
Cameroon,24100000.0,60.7,1500.0,africa
Canada,36600000.0,82.0,51300.0,americas
Cape Verde,546000.0,73.8,3540.0,africa
Central African Republic,4660000.0,50.9,335.0,africa
Chad,14900000.0,60.2,823.0,africa
Chile,18100000.0,80.5,15100.0,americas
China,1410000000.0,76.8,7330.0,asia
Colombia,49100000.0,78.4,7600.0,americas
Comoros,814000.0,67.8,770.0,africa
"Congo, Dem. Rep.",81300000.0,62.0,409.0,africa
"Congo, Rep.",5260000.0,63.4,2580.0,africa
Costa Rica,4910000.0,81.2,9790.0,americas
Cote d'Ivoire,24300000.0,60.6,1630.0,africa
Croatia,4190000.0,77.5,15200.0,europe
Cuba,11500000.0,79.2,,americas
Cyprus,1180000.0,80.6,29400.0,europe
Czech Republic,10600000.0,79.2,22800.0,europe
Denmark,5730000.0,81.0,61600.0,europe
Djibouti,957000.0,66.9,,africa
Dominica,73900.0,,6560.0,americas
Dominican Republic,10800000.0,75.9,7150.0,americas
Ecuador,16600000.0,78.1,5270.0,americas
Egypt,97600000.0,72.4,2790.0,africa
El Salvador,6380000.0,75.5,3460.0,americas
Equatorial Guinea,1270000.0,65.8,11500.0,africa
Eritrea,5070000.0,64.1,,africa
Estonia,1310000.0,77.5,19000.0,europe
Ethiopia,105000000.0,66.0,550.0,africa
Fiji,906000.0,65.6,4320.0,asia
Finland,5520000.0,81.9,47100.0,europe
France,65000000.0,82.5,42600.0,europe
Gabon,2030000.0,67.0,9440.0,africa
Gambia,2100000.0,67.6,534.0,africa
Georgia,3910000.0,74.1,4290.0,europe
Germany,82100000.0,81.1,46700.0,europe
Ghana,28800000.0,66.3,1810.0,africa
Greece,11200000.0,81.2,23000.0,europe
Grenada,108000.0,71.7,8960.0,americas
Guatemala,16900000.0,73.0,3120.0,americas
Guinea,12700000.0,61.3,823.0,africa
Guinea-Bissau,1860000.0,59.3,605.0,africa
Guyana,778000.0,68.0,3870.0,americas
Haiti,11000000.0,64.3,729.0,americas
Holy See,792.0,,,europe
Honduras,9270000.0,72.9,2210.0,americas
"Hong Kong, China",,,,asia
Hungary,9720000.0,75.8,15600.0,europe
Iceland,335000.0,82.4,49900.0,europe
India,1340000000.0,68.9,1960.0,asia
Indonesia,264000000.0,71.9,4130.0,asia
Iran,81200000.0,76.3,6950.0,asia
Iraq,38300000.0,67.8,5550.0,asia
Ireland,4760000.0,81.3,74400.0,europe
Israel,8320000.0,82.3,34100.0,asia
Italy,59400000.0,82.5,34900.0,europe
Jamaica,2890000.0,75.0,4800.0,americas
Japan,127000000.0,84.0,48600.0,asia
Jordan,9700000.0,76.5,3240.0,asia
Kazakhstan,18200000.0,71.8,10900.0,asia
Kenya,49700000.0,67.1,1170.0,africa
Kiribati,116000.0,62.1,1710.0,asia
Kuwait,4140000.0,79.8,33500.0,asia
Kyrgyz Republic,6050000.0,71.3,1070.0,asia
Lao,6860000.0,67.6,1730.0,asia
Latvia,1950000.0,75.0,15600.0,europe
Lebanon,6080000.0,80.3,7200.0,asia
Lesotho,2230000.0,50.8,1410.0,africa
Liberia,4730000.0,64.9,352.0,africa
Libya,6370000.0,75.3,7310.0,africa
Liechtenstein,37900.0,,,europe
Lithuania,2890000.0,75.2,16800.0,europe
Luxembourg,583000.0,82.2,108000.0,europe
"Macedonia, FYR",2080000.0,75.0,5250.0,europe
Madagascar,25600000.0,63.0,422.0,africa
Malawi,18600000.0,60.7,486.0,africa
Malaysia,31600000.0,75.8,11500.0,asia
Maldives,436000.0,79.8,8980.0,asia
Mali,18500000.0,62.4,762.0,africa
Malta,431000.0,81.6,27100.0,europe
Marshall Islands,53100.0,,3450.0,asia
Mauritania,4420000.0,70.4,1310.0,africa
Mauritius,1270000.0,74.8,10200.0,africa
Mexico,129000000.0,76.6,9950.0,americas
"Micronesia, Fed. Sts.",106000.0,65.7,2860.0,asia
Moldova,4050000.0,72.3,2170.0,europe
Monaco,38700.0,,,europe
Mongolia,3080000.0,68.5,4070.0,asia
Montenegro,629000.0,77.2,7810.0,europe
Morocco,35700000.0,75.2,3290.0,africa
Mozambique,29700000.0,60.5,519.0,africa
Myanmar,53400000.0,70.2,1480.0,asia
Namibia,2530000.0,65.3,5850.0,africa
Nauru,11400.0,,9610.0,asia
Nepal,29300000.0,71.2,728.0,asia
Netherlands,17000000.0,81.8,53600.0,europe
New Zealand,4710000.0,81.6,37900.0,asia
Nicaragua,6220000.0,78.5,2020.0,americas
Niger,21500000.0,62.1,396.0,africa
Nigeria,191000000.0,65.6,2410.0,africa
North Korea,25500000.0,70.9,,asia
Norway,5310000.0,82.2,91200.0,europe
Oman,4640000.0,77.8,16100.0,asia
Pakistan,197000000.0,67.8,1220.0,asia
Palau,21700.0,,9980.0,asia
Palestine,4920000.0,72.0,2490.0,asia
Panama,4100000.0,79.2,11500.0,americas
Papua New Guinea,8250000.0,61.0,2400.0,asia
Paraguay,6810000.0,74.7,3910.0,americas
Peru,32200000.0,80.0,6170.0,americas
Philippines,105000000.0,70.4,2890.0,asia
Poland,38200000.0,78.0,15800.0,europe
Portugal,10300000.0,81.1,23100.0,europe
Qatar,2640000.0,80.6,65700.0,asia
Romania,19700000.0,75.4,10900.0,europe
Russia,144000000.0,71.0,11400.0,europe
Rwanda,12200000.0,68.0,765.0,africa
Samoa,196000.0,72.2,3850.0,asia
San Marino,33400.0,,52900.0,europe
Sao Tome and Principe,204000.0,70.7,1310.0,africa
Saudi Arabia,32900000.0,77.5,20800.0,asia
Senegal,15900000.0,66.5,1130.0,africa
Serbia,8790000.0,76.0,5990.0,europe
Seychelles,94700.0,74.0,14000.0,africa
Sierra Leone,7560000.0,59.6,462.0,africa
Singapore,5710000.0,83.8,55200.0,asia
Slovak Republic,5450000.0,77.0,19900.0,europe
Slovenia,2080000.0,81.0,25700.0,europe
Solomon Islands,611000.0,63.3,1520.0,asia
Somalia,14700000.0,57.6,,africa
South Africa,56700000.0,63.0,7520.0,africa
South Korea,51000000.0,81.2,26200.0,asia
South Sudan,12600000.0,60.2,,africa
Spain,46400000.0,83.1,32400.0,europe
Sri Lanka,20900000.0,77.6,3840.0,asia
St. Kitts and Nevis,55300.0,,15800.0,americas
St. Lucia,179000.0,76.4,8550.0,americas
St. Vincent and the Grenadines,110000.0,71.9,6740.0,americas
Sudan,40500000.0,68.5,1960.0,africa
Suriname,563000.0,71.5,8040.0,americas
Swaziland,1370000.0,58.2,3910.0,africa
Sweden,9910000.0,82.2,56900.0,europe
Switzerland,8480000.0,83.3,76700.0,europe
Syria,18300000.0,69.0,,asia
Taiwan,,,,asia
Tajikistan,8920000.0,72.0,1020.0,asia
Tanzania,57300000.0,64.9,901.0,africa
Thailand,69000000.0,78.0,6130.0,asia
Timor-Leste,1300000.0,73.0,2670.0,asia
Togo,7800000.0,62.9,577.0,africa
Tonga,108000.0,70.6,3860.0,asia
Trinidad and Tobago,1370000.0,73.3,15400.0,americas
Tunisia,11500000.0,77.7,4300.0,africa
Turkey,80700000.0,79.3,14900.0,europe
Turkmenistan,5760000.0,70.4,7320.0,asia
Tuvalu,11200.0,,3620.0,asia
Uganda,42900000.0,62.6,667.0,africa
Ukraine,44200000.0,72.2,2990.0,europe
United Arab Emirates,9400000.0,76.7,41200.0,asia
United Kingdom,66200000.0,81.0,42500.0,europe
United States,324000000.0,79.0,53100.0,americas
Uruguay,3460000.0,77.4,14400.0,americas
Uzbekistan,31900000.0,70.4,2030.0,asia
Vanuatu,276000.0,64.1,2940.0,asia
